id_plano_trabalho,situacao_plano_trabalho,ind_orcamento_proprio_plano_trabalho,data_inicio_execucao_plano_trabalho,data_fim_execucao_plano_trabalho,prazo_execucao_meses_plano_trabalho,id_plano_acao,classificacao_orcamentaria_pt,ind_justificativa_prorrogacao_atraso_pt,ind_justificativa_prorrogacao_paralizacao_pt,justificativa_prorrogacao_pt,uf_beneficiario_plano_acao
16036,Enviado para Análise,Sim,2023-12-11T00:00:00,2026-12-11T00:00:00,36,37182,"Lote 4: 1100444902081-100000
Lote 4: 1100444902081-300000",False,False,,
18178,Enviado para Análise,Sim,2023-08-30T00:00:00,2026-08-30T00:00:00,36,34064,4.4.90.51,False,False,,
8828,Enviado para Análise,Sim,2024-07-03T00:00:00,2027-07-03T00:00:00,36,74414,"Órgão: 05 -  Secretaria Municipal de Obras e Trânsito      
Unidade: 002 - Departamento de Obras e Infraestrutura   Função: 15 - Urbanismo                                                          
Subfunção: 451 - Infra-Estrutura Urbana                                              
Programa: 0006 - Plano de Continuidade, Manutenção e Recuperação de Estradas e Ruas                                                          
Ação: 1024 - Pavimentação e/ou Infraestrutura de Vias Urbanas     
Rubrica: 3.4.4.90.51.00.00.00.00 - Obras e Instalações          
Recurso: 1062 - STN: 1700 - CO: 3110 - REC UN/MF-Investimento",False,False,,
30409,Em Elaboração,Sim,2022-07-01T00:00:00,2024-09-01T00:00:00,26,17075,17.01.15.451.0011.1.029.449051.05.0000000,False,False,,
27022,Enviado para Análise,Sim,2022-07-01T00:00:00,2025-07-01T00:00:00,36,19112,02.03.02.08.243.0009.1.230 4490.51.00,False,False,,
8951,Enviado para Análise,Sim,2023-08-30T00:00:00,2026-08-30T00:00:00,36,36966,"Fonte de Recursos: 05 - União
02.05 - SECRETARIA MUNICIPAL DE SAÚDE
10.301.0005-1.754 - Aquisição de Equipamentos para Atenção Básica - Emenda
Parlamentar - 2023.392.80004
400000 - DESPESAS DE CAPITAL
440000 - INVESTIMENTOS
449000 - APLICAÇÕES DIRETAS
449052 - EQUIPAMENTOS E MATERIAL PERMANENTE...R$1.000.000,00
02.05 - SECRETARIA MUNICIPAL DE SAÚDE
10.302.0005-1.755 - Aquisição de Equipamentos para Assistência Hospitalar e
Ambulatorial - Emenda Parlamentar - 2023.392.80004
400000 - DESPESAS DE CAPITAL
440000 - INVESTIMENTOS
449000 - APLICAÇÕES DIRETAS
449052 - EQUIPAMENTOS E MATERIAL PERMANENTE......R$500.000,00",False,False,,
7730,Enviado para Análise,Sim,2020-12-24T00:00:00,2023-03-24T00:00:00,27,4801,01.12.004.00.13.392.0036.2.213.4.4.90.52.05.800.,False,False,,
1324,Em Complementação,Sim,2024-06-25T00:00:00,2027-06-25T00:00:00,36,73382,3097,False,False,,
14087,Em Complementação,Sim,2024-12-12T00:00:00,2025-12-12T00:00:00,12,65741,"020601 SEC.MUN.DE TRANSPORTE,OBRAS E URBANISMO
26 . 782 . 0091 . 2071 . 0000 Manutenção e/ou Conservação de Estradas Vicinais
3.3.90.30.00  MATERIAL DE CONSUMO
Fonte STN: 706/Transferência Especial da União",False,False,,
17855,Em Complementação,Sim,2023-03-29T00:00:00,2025-03-29T00:00:00,24,16811,OBRAS E INSTALAÇÕES,False,False,,
13864,Em Complementação,Sim,2024-12-13T00:00:00,2027-12-13T00:00:00,36,73203,INVESTIMENTO,False,False,,
6616,Enviado para Análise,Sim,2023-08-30T00:00:00,2024-08-30T00:00:00,12,36658,"ÓRGÃO: 09 – Secretaria de Agricultura e Meio Ambiente
UNIDADE: 001 – Departamento de Extensão Rural
CLASSIFICAÇÃO FUNCIONAL: 20.606.2001.1064 – Pavimentação de Estradas Rurais
ELEMENTO: 4.4.90.51.00.00 – Obras e Instalações
FONTE DE RECURSO: 00000 – Recursos Ordinários (Livres)
CONTA: 04310 (Exercício Atual)
FONTE DE RECURSO: 00000 – Recursos Ordinários (Livres)
CONTA: 04310 (Exercício Anterior)
FONTE DE RECURSO: 00829 – Emendas Individuais Impositivas – transferência especial (inciso I do art.
169)
CONTA: 04311 (Exercício Anterior)",False,False,,
950,Em Complementação,Sim,2024-06-25T00:00:00,2026-06-25T00:00:00,24,67457,"02-GABINETE DO PREFEITO
02.01- GABINETE DO PREFEITO
06-Segurança Publica
182-Defesa Civil
2.031- MANUTENÇÃO DA DEFESA CIVIL DO MUNICIPIO
3.3.90.30.00 (5060) - Material de Consumo...........................................................R$ 40.000,00
Fonte: 1.706-Transferencia Especial União

11.SEC. MUN. IND. COM.TUR. CULT E DESPORTO
11.01. SEC. MUN. IND. C.T. DESP. E ORGAOS SUBORDINADOS
27-Desporto e Lazer
812-Desporto Comunitário
2.066-ENCARGOS COM MANUTENÇÃO DO ESPORTE E LAZER
3.3.90.30.00 (5062) - Material de Consumo...........................................................R$ 20.000,00
Fonte: 1.706 - Transferência Especial União
4.4.90.51.00 (5061) - Obras e Instalações.............................................................R$ 140.000,00
Fonte:1.706-Transferencia Especial União
",False,False,,
4058,Enviado para Análise,Sim,2024-07-03T00:00:00,2027-07-03T00:00:00,36,71166,"06. Secretaria Municipal Juventude, Cultura, Turismo, Desporto e Lazer
4.4.90.51 - Obras e Instalações
27.812.0720.1-031 - Construção, Recuperação e Ampliação de Módulos esportivos

05. Secretaria de Infra estrutura
4.4.90.51 - Obras e Instalações
26.782.0710.1-026
15.451.0501.1-020 - PAVIMENTAÇÃO E RUCUP. LOGRADOUROS PUBLICOS URBANOS E RURAIS
",False,False,,
15483,Enviado para Análise,Sim,2024-12-13T00:00:00,2026-06-13T00:00:00,18,65620,"4.4.90 - Pavimentação Asfáltica 
4.4.90 - Reforma de escolas",False,False,,
453,Enviado para Análise,Sim,2024-07-03T00:00:00,2027-07-03T00:00:00,36,69307,"ÓRGÃO: 02 - GABINETE DO PREFEITO
UNIDADE: 003 - DEFESA CIVIL
FUNÇÃO: 6 - SEGURANÇA PÚBLICA
SUBFUNÇÃO: 122 - ADMINISTRAÇÃO GERAL
PROGRAMAS: 0300 - GESTÃO ADMINISTRATIVA
PROJETO/ATIVIDADE: 2600 - MANUTENÇÃO DAS ATIVIDADES DE DEFESA CIVIL
NATUREZA DA DESPESA: 4.4.90 - APLICAÇÕES DIRETAS
DESPESA: 21
VALOR: R$ 400.000,00


ÓRGÃO: 41 - DESENVOLVIMENTO ECONÔMICO E INOVAÇÃO
UNIDADE: 001 - DESENVOLVIMENTO ECONÔMICO E INOVAÇÃO
FUNÇÃO: 19 - CIÊNCIA E TECNOLOGIA
SUBFUNÇÃO: 572 - DESENVOLVIMENTO TECNOLÓGICO E ENGENHARIA
PROGRAMAS: 1260 - DESENVOVIMENO ECONÔMICO, INDÚSTRIA, COMÉRCIO E SERVIÇOS
PROJETO/ATIVIDADE: GESTÃO DO CENTRO DE INOVAÇÃO
NATUREZA DA DESPESA: 4.4.90.00.00.00.00.00 - APLICAÇÕES DIRETAS
DESPESA: 548
VALOR: R$ 200.000,00",False,False,,
23932,Em Complementação,Sim,2021-09-24T00:00:00,2024-09-24T00:00:00,36,10962,Apoio a Infraestrutura no Município de Pedras Grandes,False,False,,
13637,Enviado para Análise,Sim,2024-12-12T00:00:00,2025-01-12T00:00:00,1,67011,"ficha 702
fonte rec 05
órgão 02 Prefeitura da Est.Tur. de Ibiúna
unidade orçamentária 15
un executora 01 Serviços Municipais
funcional 15.452.5002- Urbanismo. Transporte e Projetos
ativ. 2040- Manutenção da limpeza Pública
categoria 3.3.90 - Outros serv. terceiros-Pessoa Jurídica
elemento 39 - Outros Serv. Terceiros-Pessoa Jurídica
aplicação 110 - Geral",False,False,,
9150,Em Complementação,Sim,2024-12-13T00:00:00,2027-12-13T00:00:00,36,73171,"Funcional Programática:
15.1515.14.122.0001.2005 - MANUTENÇÃO DA ATIVIDADES DA SECRETARIA MUNICIPAL DE POLÍTICAS
PÚBLICAS PARA MULHERES
03.0330.04.123.0001.2008 - MANUTENÇÃO DAS ATIVIDADES DA SEC. DE ADMINISTRAÇÃO E FINANÇAS
05.0551.10.301.0004.5011 - BLOCO DE EST.DA REDE DE SERV.PÚB.DE SAÚDE (AT. PRIM.) - AQ.DE
VEÍCULOS E EQUIPAMENTOS
Elemento de Despesa:
4.4.90.52.00 - EQUIPAMENTOS E MATERIAL PERMANENTE
Fonte de Recurso: 1706.00.000 – TRANSFERÊNCIA ESPECIAL DA UNIÃO",False,False,,
11157,Em Complementação,Sim,2024-07-03T00:00:00,2026-07-03T00:00:00,24,65456,15.451..0040.1322.0000 - Construção de Praça Pública,False,False,,
12484,Enviado para Análise,Sim,2024-12-13T00:00:00,2025-06-13T00:00:00,6,75042,"13 SECRETARIA DE URBANISMO E MEIO AMBIENTE      100.000,00 11.814.329,22 55.507,6811.758.821,54
003 DEPARTAMENTO DE URBANISMO E ENGENHARIA      100.000,00 11.814.329,22 55.507,6811.758.821,54
15.451.0003.2062 MANUTENÇÃO DO DEPARTAMENTO DE URBANISMO E ENGENHARIA      100.000,00 11.814.329,22 55.507,6811.758.821,54
4.4.90.51.00.00 OBRAS E INSTALAÇÕES
00000 Recursos Ordinários (Livre)     100.000,00 1.086.092,51 507,6804540 E 0000/01/07/00/00 1.085.584,83
00000 Recursos Ordinários (Livre) ",False,False,,
21123,Enviado para Análise,Sim,2023-08-30T00:00:00,2026-08-30T00:00:00,36,31325,"10 - Secretaria municipal de obras, viação e
urbanismo;
1010 – Secretaria municipal de obras, viação e
urbanismo;
1022- Construção e/ou recuperação de estradas
vicinais;
449051- Obras e instalações;

05 – Secretaria municipal de saúde
0550 – Secretaria Municipal de Saúde
050551 - Construção/Ampliação/Reforma de UBS
449051 – Obras e instalações


",False,False,,
16528,Enviado para Análise,Sim,2024-12-13T00:00:00,2026-12-13T00:00:00,24,68692,"Órgão: 12 Secretaria Municipal de Infraestrutura
Unidade: 1 – Secretaria Municipal de Infraestrutura
Ação: 137 – Construção, Revitalização e Manutenção de Espaços Públicos 
Vínculo: 270631107610 – Transfe. Emendas Parlamentares Individuais - Outros – Superávit 67610
Referência 399
Modalidade 3449000000000000000 – Aplicações Diretas
",False,False,,
7890,Em Complementação,Sim,2024-06-25T00:00:00,2027-06-25T00:00:00,36,72441,1.706.028.110,False,False,,
27861,APROVADO,Sim,2023-10-02T00:00:00,2026-10-02T00:00:00,36,31527,Classificação Orçamentária de Despesa 15 541 0021 1.023,False,False,,
5240,Em Complementação,Sim,2024-07-03T00:00:00,2027-07-03T00:00:00,36,65159,DESPESA DE CAPITAL,False,False,,
16294,APROVADO,Sim,2024-07-03T00:00:00,2025-03-03T00:00:00,8,74461,"Órgão - 08 – SECRETARIA MUNICIPAL TRANSPORTES, OBRAS E SERVIÇOS PÚBLICOS / DEPARTAMENTO DE TRANSPORTES E OBRAS
Unidade - 001 – Urbanismo / Infraestrutura Urbana
Proj. Atividade – 1.013 – PAVIMENTAÇÃO DE ESTRADAS, RUAS E PASSEIOS
Elemento de Despesa: 4.4.90.00.00.00.00.1.706.3110.1176.00
Elemento de Despesa: 4.4.90.00.00.00.00.2.755.0000.1389.00
",False,False,,
26061,Enviado para Análise,Sim,2023-12-11T00:00:00,2025-12-11T00:00:00,24,37050,"07.001.1022 - CONSTRUÇÃO REFORMA E AMPLIAÇÃO DAS UNIDADES ESCOLARES ENS. FUNDAMENTAL
",False,False,,
918,Enviado para Análise,Sim,2023-03-29T00:00:00,2025-03-29T00:00:00,24,20078,01.04.01 15.452.0005.2.021 4.4.90.51,False,False,,
9609,Enviado para Análise,Sim,2020-06-26T00:00:00,2020-09-26T00:00:00,3,3826,09.01.03   15.451.0029.3058    44905100,False,False,,MG
1773,Em Complementação,Sim,2024-07-03T00:00:00,2027-07-03T00:00:00,36,74795,"Unidade Orçamentária: 2003 
Ação: 1.18
Elemento de despesa: 4.4.90.00.00
Despesa: 58/59
Fonte de despesa: 200/219
",False,False,,
8468,Enviado para Análise,Sim,2024-12-13T00:00:00,2027-12-13T00:00:00,36,65378,"02.08.02.15.451.0019.1.0106.4.4.90.51 - Const., Alarg., Pav. e Rec. de Vias Urbanas",False,False,,
19023,Em Complementação,Sim,2021-08-02T00:00:00,2024-08-02T00:00:00,36,11783,"1810.08.244.493.8005.33504100
1810.08.244,493.8005.44504200",False,False,,
28464,Enviado para Análise,Sim,2023-03-29T00:00:00,2026-03-29T00:00:00,36,18278,ÓRGÃO 11 - SEC MUN DE OBRAS E SERVIÇOS DOTAÇÃO UNIDADE 02 - DIVISAO DE OBRAS 16524 - 11.02.15.451.0172.1289.449051000000 - OBRAS E INSTALAÇÕES 16525 - 449051910000 - OBRAS EM ANDAMENTO,False,False,,
31542,Enviado para Análise,Sim,2021-08-02T00:00:00,2025-08-02T00:00:00,48,12637,"2506/2507/2508-14.01.20.606.00354.1495-4.4.90.52.40.00.00.00 - Máquinas e Equipamentos
16.01.13.392.0020.1550 - 4.4.90.51 - Outras obras e instalações
2495 - 10.01.12.365.018.1486 - 4.4.91.51 - Obras em andamento
2519 - 10.01.12.365.0018.1487 - 4.4.90.52 - equipamento e material permanente
2510 - 15.01.15.451.0049.1498 - 4.4.90.52 - equipamento e material permanente",False,False,,
