id_relatorio_gestao,situacao_relatorio_gestao,parecer_relatorio_gestao,id_plano_acao,uf_beneficiario_plano_acao
4266,DISPONIBILIZADO,"Aquisição de 1 (um) Trailer Especial Tipo Castra móvel, composto por 4 (quatro) salas de tricotomia, assepsia/paramentação, sala cirúrgica e sala pós-cirúrgica. Adquirido através do Processo Licitatório No 7529/2022, Pregão Eletrônico No. 00123/2022.

Valor da compra do bem R$ 165.000,00. ",13071,
6978,DISPONIBILIZADO,"-Construção de Ponte sobre o Rio Guará - Tomada de Preço n. 01-2023 - Contrato n. 09/2023 - Notas Fiscais n. 12 e 15/2023 - Medições n. 2 e 3.

-Aquisição de concreto betuminoso usinado a quente (CBUQ) convencional e emulsão RR2C - Pregão Presencial n. 07/2022 - Ata de Registro de Preço n. 07/2022 - Nota Fiscal n. 587/2023.",15400,
2951,DISPONIBILIZADO,"Transferência Especial – Plano de Ação: 09032022-020115 | Programa: 09032022
Parlamentar: 202239580005-DELEGADO PABLO
Valor: R$ 1.000.000,00 (um milhão de reais)
Valor Pago/Liberado: R$ 362.341,00 (trezentos e sessenta e dois mil, trezentos e quarenta e um reais)

Parecer:

Recurso utilizado para complementação da CONSTRUÇÃO DO CENTRO DE ESPORTE E LAZER, oriundo do Termo de Contrato n° 036/2020.
Esta obra tem como objetivo beneficiar a população do município, com uma estrutura onde possam ser realizados grandes eventos esportivos e atividades recreativas, visando o desenvolvimento social, econômico e cultural da população conduzindo-os a participar de tais atividades, promovendo saúde, bem-estar e melhoria de vida.
A população beneficiada estimada de 36.121.
",20115,
14520,EM_ELABORACAO,Notificação Conselho,72806,
2962,DISPONIBILIZADO,"O objeto proposto foi executado integralmente, sendo, Recapeamento asfáltico na Rua 12 no bairro Vila Santa Terezinha, no município de Rio Claro/SP e Iluminação do Campo de Futebol da Lagoa Seca, no município de Rio Claro/SP. Conforme relatórios e documentação em anexo.",10304,
10686,EM_ELABORACAO,"EXECUÇÃO DE REFORMA DE MURO DE CONTENÇÃO, SITO NA RUA QUERINO SCARAVONATTI, COM RECURSOS PROVENIENTES DA EMENDA PARLAMENTAR
Nº 202342510010, TRANSFERÊNCIA ESPECIAL, PROGRAMA 09032023, PLANO DE AÇÃO 09032023-039014, UNIÃO FEDERAL/MINISTÉRIO DA FAZENDA.
o Valor da emenda parlamentar foi de 100 mil reais para execução da obra foram aportados mais 5.851,12 de recursos próprios do Município.
Obra em execução ",39014,
4265,DISPONIBILIZADO,"Aquisição de 1 (um) veículo automotor, Zero Km, Modelo 2022 Pick UP (Picape) cabine simples, Ano de fabricação 2022, adquirido através do Processo Licitatório No 7529/2022, Pregão Eletrônico No 00123/2022.

Valor da compra do bem R$ 81.500,00.

Entregue a Missão Ajudar.",12870,
1458,DISPONIBILIZADO,CEF Ag. 4473 - São Miguel do Guaporé/RO,21747,
10800,DISPONIBILIZADO,"EMENDA ESPECIAL Nº 202292240003 NO VALOR DE R$ 473.720,00.

Classificação do elemento de despesa: Obras e Instalações: R$ 473.720,00.
Conforme detalhado abaixo.

Recursos destinados à: Secretária de Obras

RESUMO
Processos de Obras e Instalações: (nº, órgão, objeto, valor, fase)
1131/2023, Gabinete, Aquisição de terrenos p/ construção de praça, valor de R$ 473.720,00, contratação;

Valor pago no total: R$ 0,00.
",14069,
1459,DISPONIBILIZADO,CEF Ag. 4473 - São Miguel do Guaporé/RO,15504,
8308,DISPONIBILIZADO,"Os recursos foram utilizados para recapeamento asfáltico em diversas ruas da cidade, pois diversas vias do município de Santa Cruz do Rio Pardo/SP, apresentam sua capa asfáltica deteriorada devido à ação das intempéries e ao intenso tráfego de veículos diariamente. Em tais vias é possível observar o desgaste e a presença de remendos e trincas que causam transtorno aos motoristas. Assim, é de grande importância realização de recapeamento asfáltico para melhorar as condições de tráfego e contribuir para a segurança no trânsito de veículos, considerando ainda que as ruas são entorno de uma creche e também próximos a rodovia de acesso a cidade, sendo assim, com grande fluxo de transito.",34531,
6980,DISPONIBILIZADO,Recurso utilizado em infraestrutura viária ,9338,
16066,DISPONIBILIZADO,"O município de Ribeirão dos Índios, empregou o recurso derivado da emenda parlamentar no setor de saúde, conforme relatório em anexo.",16372,
346,EM_ELABORACAO,ciente,12472,
1460,DISPONIBILIZADO,CEF Ag. 4473 - São Miguel do Guaporé/RO,20663,
7538,DISPONIBILIZADO,"Serão utilizados os recursos de 07 emendas parlamentares para execução do objeto: Reforma do Aeroporto Municipal de Resende/RJ, conforme relatório anexo.",39122,
6981,DISPONIBILIZADO,Recurso utilizado em infraestrutura viária,9357,
8655,DISPONIBILIZADO,"Proposta de projeto apresentada pelo Estado de Goiás, por meio da Secretaria de Estado de Ciência, Tecnologia e Inovação no âmbito do Programa 09032023-2, Ação Orçamentária 0EC2 – Transferência Especial; 12 - Educação/ 363 - Ensino Profissional e 13 - Cultura/ 392 - Difusão Cultural. A proposta tem por objetivo adquirir equipamentos permanentes para uso das orquestras vinculadas à Escola do Futuro de Goiás em Artes Basileu França, que atualmente é gerida pela Secretaria de Estado de Ciência, Tecnologia e Inovação (SECTI).
",42212,
10413,EM_ELABORACAO,DOCUMENTOS DA PRESTAÇÃO DE CONTAS.,36402,
4603,DISPONIBILIZADO," Os recursos foram aplicados  em  obras viarias  de pavimentação  asfaltica do Bairro Aeroporto, com  objetivo de urbanizar e trazez melhorias na qualidade de vida  dos  usuarios das vias  e moradores do  bairro, uma vez que  o bairro não era dotado  de nenhum tipo de pavimento.",15774,
