id_empenho,id_minuta_empenho,numero_empenho,situacao_empenho,descricao_situacao_empenho,tipo_documento_empenho,descricao_tipo_documento_empenho,status_processamento_empenho,ug_responsavel_empenho,ug_emitente_empenho,descricao_ug_emitente_empenho,fonte_recurso_empenho,plano_interno_empenho,ptres_empenho,grupo_natureza_despesa_empenho,natureza_despesa_empenho,subitem_empenho,categoria_despesa_empenho,modalidade_despesa_empenho,cnpj_beneficiario_empenho,nome_beneficiario_empenho,uf_beneficiario_empenho,numero_ro_empenho,data_emissao_empenho,prioridade_desbloqueio_empenho,valor_empenho,id_plano_acao
24825,2023NME000020374,2023NE006373,4,Enviado,1,Empenho Original,ENVIADA,170860,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,1000000000,T.ESPECIAIS,218182.0,3,334041,23,CUSTEIO,40,17733643000147,MUNICIPIO DE LEOPOLDINA,MG,2023RO006409,2023-07-05,54,100000.0,32884
24833,2023NME000020382,2023NE006455,4,Enviado,1,Empenho Original,ENVIADA,170860,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,1000000000,T.ESPECIAIS,219289.0,3,334041,04,CUSTEIO,40,00720553000119,MUNICIPIO DE VITORIA DO JARI,AP,2023RO006491,2023-07-05,21,566288.0,32904
28193,2023NME000023742,2023NE006458,4,Enviado,1,Empenho Original,ENVIADA,170860,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,1000000000,T.ESPECIAIS,218268.0,4,444041,09,INVESTIMENTO,40,23555279000175,MUNICIPIO DE CHOROZINHO,CE,2023RO006494,2023-07-05,32,2000000.0,34614
27287,2023NME000022836,2023NE006487,4,Enviado,1,Empenho Original,ENVIADA,170860,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,1000000000,T.ESPECIAIS,218959.0,4,444041,23,INVESTIMENTO,40,18307447000173,MUNICIPIO DE PAULISTAS,MG,2023RO006523,2023-07-05,19,300000.0,33703
28557,2023NME000024106,2023NE006553,4,Enviado,1,Empenho Original,ENVIADA,170860,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,1000000000,T.ESPECIAIS,218376.0,4,444041,07,INVESTIMENTO,40,13071204000165,MUNICIPIO DE IGRAPIUNA,BA,2023RO006589,2023-07-05,33,500000.0,34978
25485,2023NME000021034,2023NE006494,4,Enviado,1,Empenho Original,ENVIADA,170860,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,1000000000,T.ESPECIAIS,219233.0,4,444041,41,INVESTIMENTO,40,15884109000106,MUNICIPIO DE NOVA BRASILANDIA D:OESTE,RO,2023RO006530,2023-07-05,1,3800000.0,31478
24828,2023NME000020377,2023NE006608,4,Enviado,1,Empenho Original,ENVIADA,170860,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,1000000000,T.ESPECIAIS,218182.0,3,334041,23,CUSTEIO,40,18315234000193,MUNICIPIO DE MARTINHO CAMPOS,MG,2023RO006644,2023-07-05,38,100000.0,32891
16576,2022NME000009795,2022NE006650,4,Enviado,1,Empenho Original,ENVIADA,170860,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,1000000000,T.ESPECIAIS,207504.0,4,444041,21,INVESTIMENTO,40,03162047000140,MUNICIPIO DE JARDIM,MS,2022RO006691,2022-05-17,47,250000.0,14826
16570,2022NME000009789,2022NE006659,4,Enviado,1,Empenho Original,ENVIADA,170860,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,1000000000,T.ESPECIAIS,207504.0,4,444041,21,INVESTIMENTO,40,03452315000168,MUNICIPIO DE MIRANDA,MS,2022RO006700,2022-05-17,42,269365.0,14815
16575,2022NME000009794,2022NE006663,4,Enviado,1,Empenho Original,ENVIADA,170860,170860,COORD. ANALISE E INF TRANS FIN INTERGOV/STN,1000000000,T.ESPECIAIS,207504.0,4,444041,21,INVESTIMENTO,40,15403041000104,MUNICIPIO DE ITAQUIRAI,MS,2022RO006704,2022-05-17,45,250000.0,14824
